steel_grade,yield_strength,cross_section_area,load_applied,length,temperature,stress,slenderness_ratio,load_factor,safety_factor,failure_load
S355,343.8811988195308,262.39780813448107,25808.361216819947,5.330880728874676,32.078050822024615,98.35585670591024,0.020316026138993335,75.05022462819841,3.4962961061663638,24152.929130672564
A992,345.3052561406505,272.72998688284025,38340.450985343385,2.5212112147976886,26.732950214256647,140.58025457176345,0.009244349122052187,111.03349950087777,2.456285608476964,26256.574712383674
S355,355.22221826611985,359.94438868610223,24666.56632136154,5.8687775942072955,6.293993830121295,68.5288258316831,0.01630467866336235,69.43981838118647,5.183544500508415,29826.096482363195
A992,351.42464602386656,386.70515729919197,105994.04067363206,4.4015376929388985,21.534947637868008,274.09523424489777,0.011382154103348172,301.612427793222,1.2821260719545264,33801.16983373005
A572,338.9974614989409,239.06884560255355,88423.3026512157,3.2007624686980067,-1.4573235608654826,369.8654353240882,0.013388454947489062,260.8376542415258,0.9165426912679748,24998.132050920165
S275,271.3182905865646,356.42424302929635,38223.60877880623,4.776807051588262,19.76091121438713,107.24188807680075,0.013402026222990762,140.88106148748903,2.5299656267918498,26053.92725478321
A572,340.38534281825815,536.9139098379994,64975.41333697657,2.9757511800090723,54.8661206055656,121.01644629877684,0.005542324617566589,190.88781202799578,2.81271970239386,46022.69270856782
S355,353.8435171761176,355.4709158757928,47134.90317738959,5.143687545759647,14.972732868551251,132.59848013517728,0.014470065808582027,133.20832766290096,2.66853373293112,29939.75130388014
S355,339.90042717783393,318.50940228163296,36526.69390630025,1.0781820337059695,19.638103649445874,114.68011193591877,0.003385086989528232,107.46292439105908,2.963900378539605,30672.882785714126
A36,255.82122794713038,491.60286721639494,97127.03466859457,1.370223258670452,15.092600998099083,197.5721484672321,0.0027872564422357277,379.66761182409556,1.2948243461024014,35879.35458637385
A36,241.036648168707,348.32730087930656,86884.12526636073,4.329611783087483,31.3908451395409,249.4324304957813,0.012429722769814328,360.46022846097895,0.966340454164735,20429.97216486548
A992,329.55576978180085,588.6848381556415,104891.38242660838,4.608647605824366,6.518944382426902,178.17918116463585,0.00782871802892585,318.28112885432733,1.8495750604965149,53848.52568029897
A992,323.8025489591026,210.16765069763807,30789.142699330445,1.1571459284336711,34.54872878846463,146.49801050317618,0.005505823206343123,95.08616531372402,2.210286322981037,21122.7177730365
S355,372.94280843008585,255.73258176235026,80441.73792778172,3.6992054565083654,4.214285731433858,314.5541228005723,0.014465131627013409,215.6945679322888,1.1856236539189537,26746.854521031993
S275,272.87838578288375,264.4885149016018,112969.76523425731,5.040601897822085,34.33826295572964,427.12540949570416,0.019057923553683798,413.99308673770133,0.6388718154348723,15908.955780916709
S355,349.7023979623296,557.0235993959911,73934.22419156507,5.037200775820312,52.726390994644525,132.73086503289213,0.009043065287148343,211.4204095321341,2.6346727859844026,51264.45927316332
A36,258.4992120406235,200.20815079812633,55256.8856334169,2.523906290790145,1.525909720005922,275.9971829974768,0.012606411281102374,213.76036389903274,0.9366009074193584,6381.791177600949
